StichtagDatJahr,ch_f_in,ch_m_in,aus_f_in,aus_m_in,ch_f_out,ch_m_out,aus_f_out,aus_m_out
1971,11685,11214,6701,16152,13940,13862,6440,16747
1972,11261,11020,6961,16583,14073,13858,5913,15940
1973,10787,10677,6339,15468,14123,13643,5743,14832
1974,10902,10687,6223,15550,13032,12945,5993,15670
1975,10628,10784,4114,9061,11556,11530,5798,11197
1976,10269,10618,3428,7438,11515,11513,5002,8856
1977,10310,10790,3687,7226,11097,11052,4098,7856
1978,10296,10495,3865,7770,11266,11584,3634,7668
1979,9878,10539,3886,8724,11032,11670,3270,7935
1980,10017,10583,4356,10035,12691,12706,3593,9005
1981,10600,10868,4686,10833,12182,12268,3946,9547
1982,10608,10786,4907,10477,12225,12334,3980,8693
1983,10362,10801,5121,9955,11920,11981,4806,8674
1984,9691,10152,5218,9774,10203,10829,4941,9677
1985,10060,10807,5390,9819,11266,11475,4971,9278
1986,10411,10502,5774,10509,10633,10934,4905,9432
1987,10077,10193,5909,11655,11082,11225,4968,10051
1988,9629,9809,5910,11927,10704,10934,4832,10282
1989,8754,9168,5686,12254,10245,10425,4932,10535
1990,8581,8836,6352,12772,9797,9930,4941,10138
1991,8607,8991,7321,13773,9284,9234,4959,9786
1992,8362,8832,8053,11902,9567,10027,6489,11535
1993,7493,8416,8804,11084,9359,9756,6968,9655
1994,8353,9431,8655,10763,9539,9962,7316,9731
1995,8485,9577,8933,10366,9497,10048,7472,9617
1996,8348,9643,8682,10093,9563,9865,8123,9718
1997,8503,9634,8677,9706,9318,9968,8352,9349
1998,8853,9904,9535,10684,9329,9959,8684,10008
1999,8941,9765,10421,11246,9432,9780,8804,10267
2000,9057,10026,10305,11166,9437,9937,9498,10987
2001,8554,9407,10648,11365,8997,9419,9607,10418
2002,8173,8845,10783,11335,8911,9177,8888,9471
2003,7684,8453,10301,10359,8721,9195,9178,9553
2004,8031,8572,10918,11293,9383,9901,9550,9754
2005,8371,8960,11249,11750,9289,9520,9797,10183
2006,8098,8727,11996,12977,8853,9453,10035,10795
2007,8726,9344,13699,14782,9081,9251,10490,11615
2008,8068,8359,11885,13946,9064,9310,9822,11279
2009,7887,8207,11949,13043,8859,9280,10204,11558
2010,7932,8139,11991,13488,8978,9262,10239,11702
2011,7741,7937,12406,14471,8726,9038,10014,11633
2012,7665,7910,11618,13868,8375,8785,9598,11721
2013,8463,8679,12159,14298,8981,9252,9806,12452
2014,8144,8296,11697,14015,8145,8400,9444,11766
2015,8257,8543,11769,13904,8611,8684,9644,11704
2016,8372,8592,11438,13916,8709,8735,9405,12189
2017,8441,8737,11722,14454,8406,8652,9080,11549